price,room_type,number_of_reviews,reviews_per_month,city
36.0,Private room,50,2.04,Barcelona
69.0,Entire home/apt,62,2.66,Barcelona
79.0,Entire home/apt,16,1.29,Barcelona
65.0,Private room,0,,Barcelona
125.0,Entire home/apt,7,1.06,Barcelona
50.0,Private room,0,,Barcelona
150.0,Private room,3,0.4,Barcelona
90.0,Private room,0,,Barcelona
25.0,Private room,60,4.74,Barcelona
38.0,Private room,21,0.95,Barcelona
100.0,Entire home/apt,41,3.66,Barcelona
75.0,Entire home/apt,0,,Barcelona
62.0,Entire home/apt,41,2.75,Barcelona
30.0,Private room,10,5.08,Barcelona
95.0,Entire home/apt,72,1.59,Barcelona
350.0,Entire home/apt,0,,Barcelona
50.0,Entire home/apt,0,,Barcelona
120.0,Entire home/apt,12,1.41,Barcelona
139.0,Entire home/apt,28,0.93,Barcelona
55.0,Private room,92,4.52,Barcelona
50.0,Private room,375,7.88,Barcelona
57.0,Private room,195,4.09,Barcelona
22.0,Private room,11,4.93,Barcelona
100.0,Entire home/apt,16,1.11,Barcelona
99.0,Entire home/apt,3,0.85,Barcelona
65.0,Private room,32,1.42,Barcelona
117.0,Entire home/apt,2,0.09,Barcelona
85.0,Entire home/apt,32,3.12,Barcelona
55.0,Private room,5,0.48,Barcelona
90.0,Entire home/apt,1,0.3,Barcelona
119.0,Entire home/apt,96,2.48,Barcelona
50.0,Private room,1,0.83,Barcelona
100.0,Entire home/apt,57,3.77,Barcelona
320.0,Entire home/apt,8,1.08,Barcelona
47.0,Private room,220,3.75,Barcelona
40.0,Private room,81,3.31,Barcelona
45.0,Private room,2,2.0,Barcelona
20.0,Private room,1,0.31,Barcelona
50.0,Private room,3,1.05,Barcelona
150.0,Entire home/apt,2,1.5,Barcelona
80.0,Entire home/apt,23,3.27,Barcelona
23.0,Private room,65,6.25,Barcelona
29.0,Private room,0,,Barcelona
26.0,Private room,109,3.96,Barcelona
27.0,Private room,17,0.75,Barcelona
80.0,Private room,36,4.58,Barcelona
20.0,Private room,57,4.7,Barcelona
118.0,Entire home/apt,9,0.73,Barcelona
54.0,Entire home/apt,4,0.26,Barcelona
74.0,Private room,43,1.07,Barcelona
16.0,Private room,29,3.11,Barcelona
80.0,Entire home/apt,25,1.62,Barcelona
200.0,Entire home/apt,0,,Barcelona
180.0,Entire home/apt,1,0.81,Barcelona
36.0,Private room,24,1.18,Barcelona
160.0,Entire home/apt,32,1.03,Barcelona
175.0,Entire home/apt,59,1.1,Barcelona
120.0,Entire home/apt,20,1.59,Barcelona
60.0,Private room,38,2.15,Barcelona
205.0,Entire home/apt,13,1.19,Barcelona
30.0,Private room,18,3.14,Barcelona
55.0,Private room,44,4.49,Barcelona
65.0,Private room,46,3.3,Barcelona
40.0,Private room,22,2.32,Barcelona
40.0,Entire home/apt,18,0.25,Barcelona
69.0,Entire home/apt,39,2.88,Barcelona
49.0,Private room,22,3.22,Barcelona
50.0,Private room,0,,Barcelona
60.0,Private room,0,,Barcelona
