price,room_type,number_of_reviews,reviews_per_month,city
60,Private room,4,0.04,Melbourne
35,Private room,108,1.5,Melbourne
159,Entire home/apt,15,0.15,Melbourne
50,Private room,29,0.3,Melbourne
69,Private room,63,0.74,Melbourne
98,Entire home/apt,112,1.14,Melbourne
50,Private room,159,1.62,Melbourne
100,Private room,3,0.29,Melbourne
98,Entire home/apt,168,1.72,Melbourne
60,Private room,28,0.29,Melbourne
98,Entire home/apt,176,1.75,Melbourne
190,Entire home/apt,44,0.6,Melbourne
228,Entire home/apt,196,2.07,Melbourne
46,Private room,18,0.19,Melbourne
50,Private room,21,0.22,Melbourne
43,Private room,42,0.44,Melbourne
138,Entire home/apt,43,0.46,Melbourne
42,Private room,146,1.53,Melbourne
161,Entire home/apt,27,0.3,Melbourne
300,Entire home/apt,0,,Melbourne
140,Entire home/apt,5,0.08,Melbourne
180,Entire home/apt,1,0.03,Melbourne
60,Private room,26,0.45,Melbourne
68,Private room,101,1.07,Melbourne
60,Entire home/apt,4,0.35,Melbourne
120,Private room,431,4.61,Melbourne
228,Entire home/apt,67,1.54,Melbourne
64,Private room,366,3.88,Melbourne
48,Private room,88,0.94,Melbourne
96,Private room,81,0.89,Melbourne
84,Private room,234,2.49,Melbourne
98,Private room,121,1.32,Melbourne
119,Entire home/apt,48,0.55,Melbourne
109,Entire home/apt,3,0.24,Melbourne
140,Entire home/apt,214,2.35,Melbourne
80,Private room,26,0.3,Melbourne
90,Entire home/apt,68,0.78,Melbourne
50,Private room,18,0.27,Melbourne
80,Private room,13,0.15,Melbourne
46,Private room,10,0.79,Melbourne
245,Private room,0,,Melbourne
90,Private room,478,5.32,Melbourne
205,Entire home/apt,100,1.2,Melbourne
161,Entire home/apt,27,0.31,Melbourne
80,Entire home/apt,203,2.29,Melbourne
138,Entire home/apt,9,0.62,Melbourne
138,Entire home/apt,36,0.41,Melbourne
46,Private room,69,0.78,Melbourne
199,Entire home/apt,7,0.18,Melbourne
36,Private room,17,0.19,Melbourne
60,Private room,81,1.11,Melbourne
30,Private room,1,0.05,Melbourne
161,Entire home/apt,16,0.2,Melbourne
161,Entire home/apt,36,0.49,Melbourne
58,Private room,21,0.24,Melbourne
71,Private room,3,0.12,Melbourne
30,Private room,0,,Melbourne
93,Entire home/apt,41,0.49,Melbourne
220,Entire home/apt,70,0.86,Melbourne
90,Private room,7,0.08,Melbourne
48,Private room,23,0.27,Melbourne
140,Entire home/apt,60,1.17,Melbourne
78,Entire home/apt,14,0.17,Melbourne
190,Entire home/apt,8,0.09,Melbourne
61,Private room,44,0.51,Melbourne
155,Entire home/apt,60,0.78,Melbourne
90,Private room,189,2.27,Melbourne
73,Private room,0,,Melbourne
125,Entire home/apt,260,3.01,Melbourne
84,Private room,57,0.7,Melbourne
91,Private room,127,1.47,Melbourne
226,Entire home/apt,65,0.76,Melbourne
419,Entire home/apt,8,0.11,Melbourne
129,Entire home/apt,36,0.43,Melbourne
120,Entire home/apt,123,1.47,Melbourne
129,Entire home/apt,102,1.21,Melbourne
700,Entire home/apt,39,0.47,Melbourne
125,Private room,11,0.41,Melbourne
161,Entire home/apt,107,1.28,Melbourne
125,Entire home/apt,34,0.48,Melbourne
145,Entire home/apt,55,0.65,Melbourne
40,Private room,0,,Melbourne
72,Private room,0,,Melbourne
115,Entire home/apt,356,4.19,Melbourne
199,Entire home/apt,5,0.06,Melbourne
199,Entire home/apt,38,3.07,Melbourne
