price,room_type,number_of_reviews,reviews_per_month,city
100,Private room,493,4.83,Sydney
471,Entire home/apt,1,0.03,Sydney
109,Private room,300,3.63,Sydney
450,Entire home/apt,15,0.18,Sydney
62,Private room,42,0.45,Sydney
159,Entire home/apt,63,0.64,Sydney
84,Entire home/apt,6,0.77,Sydney
130,Entire home/apt,53,0.54,Sydney
700,Entire home/apt,54,0.88,Sydney
226,Entire home/apt,17,0.24,Sydney
130,Entire home/apt,121,1.25,Sydney
140,Entire home/apt,229,2.37,Sydney
1073,Entire home/apt,0,,Sydney
379,Entire home/apt,6,0.07,Sydney
245,Entire home/apt,23,0.25,Sydney
150,Entire home/apt,53,0.56,Sydney
199,Entire home/apt,11,0.12,Sydney
55,Private room,156,1.62,Sydney
75,Private room,97,2.83,Sydney
100,Private room,1,0.02,Sydney
75,Entire home/apt,15,0.16,Sydney
75,Private room,22,0.23,Sydney
90,Private room,1,0.03,Sydney
89,Private room,43,0.47,Sydney
109,Entire home/apt,0,,Sydney
251,Entire home/apt,2,0.03,Sydney
65,Private room,8,0.09,Sydney
89,Private room,367,3.9,Sydney
1690,Entire home/apt,13,0.17,Sydney
120,Entire home/apt,210,2.25,Sydney
84,Private room,83,0.88,Sydney
329,Entire home/apt,269,2.92,Sydney
84,Private room,79,0.84,Sydney
295,Entire home/apt,16,0.17,Sydney
400,Entire home/apt,6,0.06,Sydney
55,Private room,6,0.07,Sydney
84,Private room,161,1.73,Sydney
203,Entire home/apt,92,1.23,Sydney
71,Private room,18,0.2,Sydney
400,Entire home/apt,8,0.09,Sydney
161,Entire home/apt,63,0.68,Sydney
150,Entire home/apt,77,0.84,Sydney
190,Entire home/apt,6,0.23,Sydney
251,Entire home/apt,12,0.13,Sydney
226,Entire home/apt,5,0.06,Sydney
89,Entire home/apt,52,0.61,Sydney
90,Private room,32,0.38,Sydney
69,Private room,26,0.3,Sydney
170,Entire home/apt,24,0.61,Sydney
43,Private room,0,,Sydney
155,Entire home/apt,9,0.12,Sydney
120,Entire home/apt,170,2.22,Sydney
68,Private room,38,0.43,Sydney
199,Entire home/apt,3,0.03,Sydney
48,Private room,31,0.36,Sydney
400,Entire home/apt,3,0.05,Sydney
329,Entire home/apt,31,0.52,Sydney
120,Entire home/apt,13,0.32,Sydney
251,Entire home/apt,68,0.81,Sydney
93,Private room,37,0.42,Sydney
80,Private room,183,2.11,Sydney
580,Entire home/apt,12,0.17,Sydney
129,Entire home/apt,2,0.02,Sydney
120,Entire home/apt,4,0.05,Sydney
239,Entire home/apt,101,1.32,Sydney
251,Entire home/apt,20,0.27,Sydney
86,Private room,49,0.57,Sydney
90,Private room,25,0.29,Sydney
120,Entire home/apt,32,0.38,Sydney
500,Entire home/apt,1,0.01,Sydney
90,Private room,74,0.86,Sydney
150,Entire home/apt,81,0.96,Sydney
450,Entire home/apt,0,,Sydney
251,Entire home/apt,14,0.17,Sydney
130,Entire home/apt,12,0.14,Sydney
96,Private room,17,0.2,Sydney
75,Private room,12,0.14,Sydney
320,Entire home/apt,14,0.17,Sydney
105,Entire home/apt,16,0.19,Sydney
